episode,sum q_values,average q_values
596,-262.59344,-0.5251869
597,-324.77484,-0.64954966
598,-164.93253,-0.32986525
599,-234.40799,-0.46881598
600,126.96142,0.253923
601,-9.747969,-0.019495964
602,-15.944902,-0.03188983
603,24.724342,0.049448676
604,-302.3548,-0.60470957
605,-21.103409,-0.042206865
606,-74.23143,-0.14846286
607,-60.927887,-0.12185578
608,-199.6197,-0.39923936
609,-148.0871,-0.29617426
610,11.725544,0.02345115
611,105.6177,0.21123539
612,-24.131502,-0.04826304
613,-36.96891,-0.07393777
614,-15.875805,-0.031751588
615,36.580032,0.07315997
616,440.0269,0.8800538
617,570.05884,1.140118
618,38.237713,0.076475464
619,260.8386,0.5216771
620,-246.43512,-0.49287024
621,-3.5214443,-0.007042854
622,307.29492,0.6145901
623,181.38988,0.3627799
624,-356.5868,-0.71317357
625,132.22205,0.26444408
626,-99.08035,-0.1981608
627,-3.750823,-0.007501587
628,48.89737,0.097794704
629,-79.235435,-0.15847076
630,189.24506,0.37849006
631,175.83179,0.35166356
632,85.17018,0.17034033
633,239.33905,0.4786783
634,50.46347,0.10092686
635,172.88916,0.34577847
636,130.92177,0.26184374
637,180.48904,0.3609781
638,-31.030132,-0.062060196
639,-90.26616,-0.18053232
640,365.98993,0.7319801
641,89.94322,0.17988627
642,90.026375,0.18005292
643,-86.416626,-0.17283332
644,-88.031555,-0.17606309
645,-41.3648,-0.082729705
646,186.646,0.37329194
647,49.54888,0.0990979
648,200.44193,0.40088385
649,-84.65329,-0.16930655
650,222.18231,0.44436464
651,259.9593,0.51991856
652,-97.21807,-0.19443622
653,144.15828,0.28831655
654,365.8222,0.7316445
655,570.23376,1.1404676
656,347.93497,0.69587
657,669.5869,1.3391739
658,312.39066,0.62478137
659,429.00888,0.8580179
660,409.74524,0.81949055
661,507.00143,1.014003
662,311.84384,0.62368757
663,216.0442,0.43208846
664,277.93457,0.55586916
665,516.0617,1.0321233
666,413.8661,0.8277322
667,470.1897,0.94037926
668,372.71185,0.7454238
669,678.10406,1.3562082
670,555.89,1.11178
671,1603.4683,3.2069368
672,682.49805,1.3649958
673,794.79114,1.5895827
674,910.3187,1.8206373
675,822.0261,1.6440521
676,1343.6381,2.687276
677,1098.6624,2.1973245
678,1016.51184,2.033024
679,760.52954,1.5210587
680,678.4551,1.3569099
681,746.4729,1.4929458
682,473.5398,0.9470794
683,633.1825,1.2663653
684,829.2279,1.6584561
685,867.99457,1.735989
686,939.97437,1.8799483
687,836.85114,1.6737021
688,886.5309,1.7730615
689,622.5356,1.245071
690,582.2739,1.1645478
691,1010.755,2.0215108
692,694.2643,1.3885287
693,559.11414,1.1182283
694,901.1663,1.8023325
695,549.5189,1.0990381
696,890.0232,1.7800465
697,1184.4316,2.368863
698,597.6159,1.1952319
699,843.17096,1.6863418
700,746.28784,1.4925754
701,916.8811,1.8337624
702,1032.1647,2.0643299
703,581.44727,1.1628944
704,459.5819,0.9191641
705,914.85516,1.8297104
706,997.84265,1.9956852
707,881.0973,1.7621949
708,869.6043,1.7392087
709,1021.2954,2.0425904
710,568.0427,1.1360854
711,649.1306,1.2982609
712,808.442,1.6168844
713,742.7865,1.4855735
714,1037.243,2.0744858
715,686.93604,1.3738722
